query,difficulty_score
"How do machine learning algorithms work, and what are some common applications?",3
Who is Mariano Sánchez?,1
Create a poem containing three stanzas about love,3
What is a popular mystery book series?,1
"Construct a switch-case statement to output ""Monthly"" if the user enters ""M"" to output ""Yearly"" if the user enters ""Y"", and ""Invalid"" if the user enters neither ""M"" nor ""Y"".",1
What is the surface area of a cube with a side length of 5 cm?,1
What are some good body weight exercises for the upper body?,1
How does the economic system in Cuba differ from those in the United States and other capitalist countries?,5
What is the percent composition of KClO3 (potassium chlorate)?,3
Rewrite the passage to make it more lively and engaging. Germs are tiny particles that live in the environment around us. Germs can make people sick with colds and different types of infections.,2
What are some key phrases or greetings in Italian that visitors to Cremona should know to enhance their cultural immersion?,2
"Write a 2,000-word narrative in third person point of view about a protagonist who saves the world from an apocalyptic event caused by an alien invasion. Incorporate elements of science fiction and adventure, and include vivid descriptions of the protagonist's emotions, thoughts, and actions throughout the story. Additionally, ensure that the antagonist aliens have clear motives and characterizations, and develop a compelling explanation for how the protagonist acquires the knowledge and skills needed to defeat them. End the story on a hopeful and satisfying note, with a clear indication of how the characters and world will be different moving forward.",6
"Can you summarize the article about American students' deficiency in American history?: The Wall Street Journal today published Students Stumble Again on the Basics of History. In it they present the familiar lament that many American students are deficient in the basics of American history. The following picture was used to illustrate how little our students know about the Declaration of Independence. All is not lost, however, these poorly informed students can always get a job in journalism, especially at the WSJ. The above picture depicts Washington presiding over the constitutional convention. He was otherwise occupied when the Declaration was prepared and issued. Not very surprised. I have talked with people with college dergree without a clue about where is Mongolia, or what is the capital of Sweden.",3
"Create a sentence that involves the words ""bicycle"" and ""child"".",1
"Suppose I have two numbers, num1 and num2, and I want to calculate the percentage of num1 with respect to num2. Can you provide me with a formula in Excel that can help me achieve this? Also, if I have the values for num1 and num2 in an Excel table, can you show me how to use a formula to calculate the percentage for each row and display the result in a new column?",2
"Describe a person who has been an important mentor or guide in your life, focusing on the specific qualities or actions that make them effective in that role. Provide examples of how this person has influenced your personal or professional growth, and explain how their mentorship has impacted your life overall.",3
"Choose the word which is different from the rest: Trigger, Muzzle, Pallete, Barrel, Bullet",2
How does mindfulness-based therapy aid in the treatment of anxiety and depression among adolescents?,4
